PK,Store_Number,Store_State,Item_Code,Item_Name,Package_Type,Retail,Actual_Sales_$_L52W,L52W_in_Stock,Normalized_Sales_$_L52W,Age_of_the_Store_(years),Store_Size,Households_(HH),%_HH_Income_>_$100K,Median_HH_Income,Average_Net_Worth,%_Population_w/_Bachelor's_Degree_+,%_Hispanic,%_Asian,%_African_American,%_Population_Age_50-70,Store_Tier_(Under_$20),Store_Tier_($20-50),Store_Tier_(Over_$50),Store_Tier
1124_229750,1124,CA,229750,Far Niente Cabernet Oakville,750ml,$194.99 ,"$1,241 ",52,"$1,241 ",7.17, Small ,54828,77.30%,"$182,711 ","$3,037,929 ",70.70%,9.10%,32.90%,2.20%,26.70%,0,1,2,2
1504_229750,1504,CT,229750,Far Niente Cabernet Oakville,750ml,$229.98 ,$460 ,52,$460 ,8.36, Small ,105723,28.70%,"$57,304 ","$858,847 ",35.30%,36.30%,6.30%,14.60%,23.50%,1,2,1,1
801_229750,801,GA,229750,Far Niente Cabernet Oakville,750ml,$219.99 ,"$1,496 ",39,"$1,995 ",15.49, Large ,79012,54.00%,"$107,097 ","$1,777,722 ",63.00%,11.90%,15.00%,13.90%,24.40%,4,4,4,4
1126_229750,1126,CA,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,"$4,089 ",21,"$10,125 ",6.5, Medium ,184922,43.80%,"$85,785 ","$1,159,131 ",48.20%,36.30%,30.00%,5.70%,25.00%,0,2,3,3
1110_229750,1110,CA,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$644 ,12,"$2,791 ",12.21, Small ,117011,55.80%,"$110,086 ","$1,774,066 ",53.70%,21.10%,16.40%,1.90%,26.30%,1,3,3,3
604_229750,604,NC,229750,Far Niente Cabernet Oakville,750ml,$199.99 ,$200 ,2,"$5,200 ",21.97, Medium ,71373,20.00%,"$45,069 ","$689,835 ",39.90%,14.40%,3.40%,33.30%,22.60%,2,0,1,1
1123_229750,1123,CA,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,"$1,054 ",30,"$1,827 ",6.96, Medium ,59778,46.40%,"$93,124 ","$1,163,387 ",33.30%,32.20%,11.20%,5.60%,21.50%,1,2,1,1
907_229750,907,FL,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$183 ,52,$183 ,18.41, Large ,79803,27.40%,"$62,306 ","$566,903 ",40.20%,16.60%,9.40%,17.90%,20.40%,3,4,4,4
1503_229750,1503,CT,229750,Far Niente Cabernet Oakville,750ml,$204.99 ,$665 ,52,$665 ,9.18, Large ,43575,46.60%,"$92,042 ","$1,657,163 ",42.90%,9.70%,6.00%,5.80%,29.70%,3,3,1,1
401_229750,401,MD,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$460 ,52,$460 ,28.01, Medium ,120003,35.80%,"$72,889 ","$1,078,772 ",42.50%,4.60%,5.70%,37.60%,24.40%,4,3,2,2
2802_229750,2802,KS,229750,Far Niente Cabernet Oakville,750ml,$124.99 ,"$2,828 ",1,"$147,077 ",1.27, Large ,100194,47.40%,"$94,490 ","$1,684,201 ",64.30%,6.00%,7.90%,5.40%,25.90%,3,3,4,4
1137_229750,1137,CA,229750,Far Niente Cabernet Oakville,750ml,$211.99 ,$422 ,40,$549 ,1.96, Medium ,69461,45.50%,"$89,025 ","$1,157,668 ",40.50%,34.10%,9.10%,2.50%,22.00%,2,3,3,3
802_229750,802,GA,229750,Far Niente Cabernet Oakville,750ml,$219.99 ,"$1,100 ",11,"$5,199 ",17.35, Medium ,65746,37.30%,"$79,168 ","$1,115,435 ",47.80%,12.50%,7.10%,21.60%,23.30%,4,3,3,3
705_229750,705,SC,229750,Far Niente Cabernet Oakville,750ml,$194.99 ,$190 ,13,$760 ,4.73, Large ,39008,47.80%,"$94,176 ","$1,544,341 ",64.00%,2.30%,1.80%,11.90%,24.90%,3,2,2,2
1112_229750,1112,CA,229750,Far Niente Cabernet Oakville,750ml,$229.99 ,"$1,955 ",26,"$3,910 ",11.39, Large ,34549,37.20%,"$71,445 ","$2,141,335 ",41.20%,24.50%,4.00%,1.80%,31.40%,0,3,4,4
1301_229750,1301,NM,229750,Far Niente Cabernet Oakville,750ml,$164.99 ,"$1,122 ",52,"$1,122 ",11.7, Medium ,67574,33.00%,"$72,561 ","$981,204 ",37.30%,45.80%,2.30%,2.90%,25.10%,1,0,0,0
928_229750,928,FL,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$215 ,14,$799 ,8.26, Medium ,81740,24.10%,"$59,842 ","$537,330 ",30.40%,28.00%,4.00%,19.60%,23.50%,2,1,1,1
1102_229750,1102,CA,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$872 ,52,$872 ,14.05, Medium ,173897,41.00%,"$81,493 ","$992,346 ",37.30%,39.50%,16.90%,4.40%,23.80%,0,2,2,2
1103_229750,1103,CA,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,"$2,025 ",41,"$2,568 ",16.05, Medium ,162484,50.70%,"$101,198 ","$1,302,349 ",49.30%,38.50%,27.20%,2.00%,21.10%,0,3,4,4
615_229750,615,NC,229750,Far Niente Cabernet Oakville,750ml,$199.99 ,$200 ,8,"$1,300 ",2.36, Large ,46760,29.50%,"$57,047 ","$975,895 ",44.50%,6.80%,1.80%,10.20%,21.60%,4,3,2,2
937_229750,937,FL,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$655 ,52,$655 ,2.46, Large ,57919,19.40%,"$47,357 ","$507,951 ",30.60%,6.00%,3.20%,31.10%,24.30%,2,2,2,2
2101_229750,2101,KY,229750,Far Niente Cabernet Oakville,750ml,$479.99 ,$240 ,12,"$1,040 ",8.07, Large ,52455,43.60%,"$86,768 ","$1,696,098 ",59.20%,5.40%,6.50%,9.80%,26.40%,3,2,2,2
906_229750,906,FL,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$460 ,14,"$1,708 ",17.06, Large ,107171,29.10%,"$63,029 ","$1,144,939 ",35.10%,19.10%,2.60%,24.50%,25.20%,3,2,3,3
1006_229750,1006,AZ,229750,Far Niente Cabernet Oakville,750ml,$204.99 ,$230 ,5,"$2,392 ",15.03, Large ,160333,25.60%,"$53,360 ","$719,646 ",34.80%,43.90%,3.30%,7.80%,22.20%,2,3,3,3
1122_229750,1122,CA,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$430 ,1,"$22,359 ",5.18, Small ,132610,52.30%,"$103,778 ","$1,352,786 ",57.40%,23.10%,22.00%,1.70%,22.30%,0,2,3,3
1113_229750,1113,CA,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,"$2,017 ",52,"$2,017 ",9.41, Medium ,184931,44.70%,"$88,924 ","$1,290,551 ",38.80%,31.20%,24.80%,6.40%,25.10%,0,2,3,3
1303_229750,1303,NM,229750,Far Niente Cabernet Oakville,750ml,$164.99 ,"$1,221 ",52,"$1,221 ",6.52, Medium ,38782,24.80%,"$56,987 ","$772,125 ",41.10%,57.50%,1.70%,1.20%,27.20%,1,0,0,0
702_229750,702,SC,229750,Far Niente Cabernet Oakville,750ml,$194.99 ,$385 ,28,$715 ,20.15, Large ,65062,29.20%,"$60,808 ","$627,934 ",43.60%,3.80%,2.00%,33.30%,21.90%,3,1,2,2
1501_229750,1501,CT,229750,Far Niente Cabernet Oakville,750ml,$229.98 ,"$3,427 ",52,"$3,427 ",11.91, Large ,53733,55.50%,"$114,356 ","$2,416,222 ",57.20%,20.90%,5.70%,10.80%,26.80%,3,4,4,4
1119_229750,1119,CA,229750,Far Niente Cabernet Oakville,750ml,$194.99 ,$230 ,52,$230 ,7.59, Medium ,95422,32.40%,"$67,022 ","$920,392 ",36.40%,36.70%,11.00%,6.20%,21.70%,0,3,3,3
1004_229750,1004,AZ,229750,Far Niente Cabernet Oakville,750ml,$204.99 ,$230 ,24,$498 ,15.19, Medium ,97652,38.70%,"$80,276 ","$1,036,358 ",46.10%,24.10%,7.70%,8.70%,24.00%,2,2,1,1
1118_229750,1118,CA,229750,Far Niente Cabernet Oakville,750ml,$194.99 ,$875 ,52,$875 ,8.01, Small ,109664,55.30%,"$110,951 ","$2,014,020 ",54.50%,21.20%,15.50%,2.70%,26.70%,0,3,3,3
1603_229750,1603,MN,229750,Far Niente Cabernet Oakville,750ml,$189.99 ,$380 ,52,$380 ,10.14, Large ,68674,46.00%,"$91,151 ","$1,352,855 ",45.90%,7.20%,6.30%,12.00%,25.30%,4,2,2,2
1013_229750,1013,AZ,229750,Far Niente Cabernet Oakville,750ml,$204.99 ,$230 ,52,$230 ,1.76, Medium ,58383,31.10%,"$73,466 ","$838,517 ",28.90%,22.00%,3.80%,6.90%,19.20%,2,1,1,1
