PK,Store_Number,Store_State,Item_Code,Item_Name,Package_Type,Retail,Actual_Sales_$_L52W,L52W_in_Stock,Normalized_Sales_$_L52W,Age_of_the_Store_(years),Store_Size,Households_(HH),%_HH_Income_>_$100K,Median_HH_Income,Average_Net_Worth,%_Population_w/_Bachelor's_Degree_+,%_Hispanic,%_Asian,%_African_American,%_Population_Age_50-70,Store_Tier,Price_to_Stock_Ratio,Stock_to_Sales_Ratio,Income_Age_Interaction,Nor_sales_per_store_size
1124_229750,1124,CA,229750.0,Far Niente Cabernet Oakville,750ml,194.99,1241.0,52,1241.0,7.17, Small ,54828,77.3,182711.0,3037929.0,70.7,9.1,32.9,2.2,26.7,2,3.679056603773585,0.04186795491143317,2063.91,854.2
1504_229750,1504,CT,229750.0,Far Niente Cabernet Oakville,750ml,229.98,460.0,52,460.0,8.36, Small ,105723,28.7,57304.0,858847.0,35.3,36.3,6.3,14.6,23.5,1,4.339245283018868,0.11279826464208242,674.4499999999999,460.0
801_229750,801,GA,229750.0,Far Niente Cabernet Oakville,750ml,219.99,1496.0,39,1995.0,15.49, Large ,79012,54.0,107097.0,1777722.0,63.0,11.9,15.0,13.9,24.4,4,5.499750000000001,0.019539078156312624,1317.6,1290.67
1126_229750,1126,CA,229750.0,Far Niente Cabernet Oakville,750ml,214.99,4089.0,21,10125.0,6.5, Medium ,184922,43.8,85785.0,1159131.0,48.2,36.3,30.0,5.7,25.0,3,9.772272727272728,0.0020738692474817303,1095.0,3211.89
1110_229750,1110,CA,229750.0,Far Niente Cabernet Oakville,750ml,214.99,644.0,12,2791.0,12.21, Small ,117011,55.8,110086.0,1774066.0,53.7,21.1,16.4,1.9,26.3,3,16.537692307692307,0.004297994269340974,1467.54,3701.53
604_229750,604,NC,229750.0,Far Niente Cabernet Oakville,750ml,199.99,200.0,2,5200.0,21.97, Medium ,71373,20.0,45069.0,689835.0,39.9,14.4,3.4,33.3,22.6,1,66.66333333333334,0.0003845414343395501,452.0,5200.0
1123_229750,1123,CA,229750.0,Far Niente Cabernet Oakville,750ml,214.99,1054.0,30,1827.0,6.96, Medium ,59778,46.4,93124.0,1163387.0,33.3,32.2,11.2,5.6,21.5,1,6.935161290322581,0.016411378555798686,997.6,2248.33
907_229750,907,FL,229750.0,Far Niente Cabernet Oakville,750ml,214.99,183.0,52,183.0,18.41, Large ,79803,27.4,62306.0,566903.0,40.2,16.6,9.4,17.9,20.4,4,4.056415094339623,0.2826086956521739,558.9599999999999,489.5
1503_229750,1503,CT,229750.0,Far Niente Cabernet Oakville,750ml,204.99,665.0,52,665.0,9.18, Large ,43575,46.6,92042.0,1657163.0,42.9,9.7,6.0,5.8,29.7,1,3.867735849056604,0.07807807807807808,1384.02,2046.0
401_229750,401,MD,229750.0,Far Niente Cabernet Oakville,750ml,214.99,460.0,52,460.0,28.01, Medium ,120003,35.8,72889.0,1078772.0,42.5,4.6,5.7,37.6,24.4,2,4.056415094339623,0.11279826464208242,873.5199999999999,460.0
